"ort","cc","state_name","place_type","attractiveness_score","research_score","stay","stay_confidence","entry_fee","fact","when","avoid","stay_de","fact_de","when_de","avoid_de","entry_fee_de","stay_fr","fact_fr","when_fr","avoid_fr","entry_fee_fr"
"Fonelas","ES","Andalusia","village","70","2","Best option: Village street parking – free, no services, check with locals first
Alternative: Drive to Guadix (25km) for proper área de autocaravanas
Wild camping: Tolerated on rural tracks, avoid agricultural areas during harvest","3","","Europe's most important paleontological site for Pliocene fossils - the local quarry has yielded over 4 million fossils including saber-toothed cats and ancient elephants.","Oct–May","Jun–Aug when excavation work stops due to 40°C+ heat","","","","","","","","","",""
"Sankt Veit an der Glan","AT","Kärnten","small_town","70","3","Best option: Wohnmobilstellplatz Stadt Sankt Veit – €12/night, historic centre proximity
Alternative: Camping Turnersee – lakeside 8km out
Wild camping: Illegal with enforcement in Carinthia","3","","Former capital of Carinthia with Austria's most intact medieval town square, where every Thursday local farmers sell cheese made from recipes unchanged since 1348.","May–Sept","Jan–Mar when Alpine weather makes driving treacherous","","","","","","","","","",""
"Chambersburg","US","Pennsylvania","medium_town","70","2","Best option: Walmart Supercenter Chambersburg – free overnight, basic facilities, edge of town
Alternative: Rocky Gap State Park – 30 miles north, full hookups $35/night
Wild camping: Prohibited on public land, private property with permission only","2","","The only Northern town burned by Confederate forces during the Civil War - they demanded $100,000 ransom and torched 550 buildings when refused, creating America's most complete Civil War reconstruction.","Apr–Oct","Civil War reenactment weekends when costumed enthusiasts outnumber actual residents","","","","","","","","","",""
"Darlington","US","South Carolina","small_town","70","2","Best option: Darlington Raceway RV camping – seasonal availability, $40-60/night during events
Alternative: Walmart Supercenter – overnight parking typically allowed
Wild camping: Not permitted, limited dispersed camping options nearby","3","","Home to the world's first stock car race in 1950, held on a dirt track that's now NASCAR's oldest superspeedway - the infield camping during race week is legendarily rowdy.","Mar–May, Sept–Nov","Labor Day weekend when 100,000+ NASCAR fans descend on this town of 6,000","","","","","","","","","",""
"Döbeln","DE","Sachsen","medium_town","70","2","Best option: Wohnmobilstellplatz Döbeln – €8/night, electricity/water, 500m to center
Alternative: Campingplatz Kriebethal – 10km out, full facilities
Wild camping: Illegal, forest camping prohibited and enforced in Sachsen","2","","Germany's boot capital since 1860 - the local Salamander factory still handcrafts leather boots using 19th-century techniques and offers factory tours ending in the company pub.","May–Sept","Dec–Feb when the boot factory closes for maintenance and the town becomes eerily quiet","","","","","","","","","",""
"Villanueva de Alcardete","ES","Castile-La Mancha","village","70","2","Best option: Plaza del pueblo parking – free, no services, check local acceptance
Alternative: Drive to Aranjuez (45km) for established área
Wild camping: Tolerated on outskirts, avoid olive groves and private farmland","3","","Spain's saffron capital where 90% of the world's most expensive spice by weight is hand-harvested during a frenzied 3-week October harvest that transforms the entire landscape purple.","Sept–Nov, Mar–May","Saffron harvest season (mid-Oct) when accommodation is impossible to find","","","","","","","","","",""
"Białystok","PL","Podlaskie Voivodeship","city","70","3","Best option: Parking at Galeria Jurowiecka – free overnight, security, 3km to centre
Alternative: Local campsites – unverified options, check current status
Wild camping: Generally tolerated outside urban areas","3","","Europe's most ethnically diverse small city with active Orthodox, Catholic, Muslim, and Jewish communities - the only place where you can hear Polish, Belarusian, Ukrainian, and Tatar spoken on the same street corner.","May–Sept","Dec–Feb when temperatures drop below -20°C and the Soviet-era heating barely works","","","","","","","","","",""
"Jasper","US","Alabama","small_town","70","2","Best option: Walmart Supercenter – free overnight permitted, restrooms, 3km to centre
Alternative: Clear Creek Recreation Area – 20km south, fee area
Wild camping: allowed on National Forest land – abundant nearby","2","","Home to the world's largest collection of Civil War-era bankroll currency, hidden in caves during Sherman's march and rediscovered in 1934","Oct–Apr","June-August when Alabama humidity makes 35°C feel like 45°C","","","","","","","","","",""
"Colmenar de Oreja","ES","Community of Madrid","small_town","70","2","Best option: Municipal parking near bullring – free, no services, walking distance to center
Alternative: Aranjuez área de autocaravanas – 20km, proper facilities
Wild camping: Tolerated outside town limits, respect agricultural areas","3","","This town produces 80% of Spain's anise liqueur and hosts the world's only museum dedicated to the spirit, housed in a 16th-century palace with original distillation equipment still in use.","Mar-May, Sep-Nov","Jul-Aug: scorching heat makes exploring the cobblestone streets unbearable","","","","","","","","","",""
"Cervera del Río Alhama","ES","Rioja","village","70","2","Best option: Village parking near church – free, no services, very quiet location
Alternative: Arnedo (15km) has better facilities and services
Wild camping: Generally tolerated in this rural area, avoid steep terrain","3","","Home to Europe's most concentrated dinosaur trackway site with over 3,000 footprints from 8 different species preserved in a single quarry, including the world's largest sauropod tracks.","Apr-Jun, Sep-Oct","Dec-Feb: paleontological sites often closed due to weather conditions","","","","","","","","","",""
"Nambroca","ES","Castile-La Mancha","village","70","2","Best option: Street parking in village center – free, no services, check with locals
Alternative: Toledo área (35km) – much better facilities but further out
Wild camping: Tolerated on rural roads, avoid agricultural machinery areas","3","","The town's 16th-century church contains Spain's only complete set of Mudéjar wooden ceiling panels painted with Islamic geometric patterns by Christian craftsmen.","Mar-May, Oct-Nov","Jul-Aug: church closes during midday hours due to extreme heat","","","","","","","","","",""
"Canterbury","GB","Kent","medium_town","70","3","Best option: Canterbury Cathedral Lodge – £25/night, certified location, walking distance to cathedral
Alternative: Camping Hawthorn Farm – 4km out, mixed reviews
Wild camping: Illegal with enforcement, very limited options","2","","The cathedral's crypt contains a 12th-century well that pilgrims believed could cure blindness, and archaeologists recently discovered it sits atop a Roman temple to Mercury.","Apr-Jun, Sep-Oct","Jul-Aug: overrun with tourists making cathedral queues 2+ hours","","","","","","","","","",""
"Telfs","AT","Tirol","small_town","70","2","Best option: Wohnmobilstellplatz Telfs – €15/night, mountain views, all services, 1km to center
Alternative: Camping Rossbach Lermoos – 20km, lakeside location
Wild camping: Illegal above tree line, below tree line tolerated 1 night only","2","","This town operates Austria's steepest funicular railway (78% grade) to reach a 13th-century castle where prisoners were lowered into oubliettes carved directly into the mountain.","May-Sep, Dec-Mar","Apr: funicular closed for annual maintenance","","","","","","","","","",""
"Santiago Ixcuintla","MX","Nayarit","small_town","70","2","Best option: Hotel/restaurant parking – negotiate rate, basic facilities, ask permission first
Alternative: Beach camping at nearby Playa Los Corchos – informal, variable conditions
Wild camping: Generally tolerated on beaches, be aware of tide levels and local security","3","","The world's largest tobacco auction house operates here year-round, where buyers bid on crops using a 400-year-old system of hand signals and specific whistle codes.","Nov-Mar","Jun-Oct: hurricane season brings flooding that cuts off access roads","","","","","","","","","",""
"Villaquejida","ES","Castile and León","village","70","2","Best option: Municipal parking near sports center – free, no services, quiet village setting
Alternative: León área de autocaravanas – 30km, full facilities
Wild camping: Tolerated outside village, respect farming activities and private property","3","","Every house in this 400-person village has underground wine cellars connected by Roman-era tunnels, creating a subterranean network longer than the streets above.","Apr-Jun, Sep-Oct","Harvest season (late Aug-Sep): cellars closed to visitors for wine production","","","","","","","","","",""
"Ostrzeszów","PL","Greater Poland Voivodeship","small_town","70","2","Best option: Parking at local sports complex – negotiate with management, basic facilities
Alternative: Kalisz (40km) has established camper services
Wild camping: Generally tolerated in rural areas, avoid forest reserves","3","","Home to Europe's only museum dedicated to the Enigma machine's Polish inventors, featuring working replicas and the original bunker where they cracked early Nazi codes in 1932.","May-Sep","Nov-Mar: museum has limited winter hours and bunker tours suspended","","","","","","","","","",""
"Fairbanks","US","Alaska","medium_town","70","3","Best option: River's Edge RV Park – $40/night, full hookups, downtown location
Alternative: Walmart parking – generally permitted for overnight
Wild camping: Legal on BLM/state lands outside city, abundant options","2","","The city sits directly under the aurora oval, making it statistically the best place on Earth to see northern lights, with 243 clear nights per year and aurora visibility 90% of winter nights.","Aug-Apr","May-Jul: midnight sun means no aurora viewing and swarms of mosquitoes","","","","","","","","","",""
"Albemarle","US","North Carolina","small_town","70","2","Best option: Walmart Supercenter Albemarle – free overnight typically allowed
Alternative: Morrow Mountain State Park – 15 miles, $23/night, hookups available
Wild camping: Not permitted on public lands, private property with permission only","2","","This town contains America's deepest hand-dug well at 315 feet, dug by one man over 17 years using only a pickaxe and bucket system that's still visible today.","Mar-May, Sep-Nov","Jun-Aug: humidity makes the historic downtown walking tour unbearable","","","","","","","","","",""
"Fier-Çifçi","AL","Fier County","medium_town","70","2","Best option: Hotel parking arrangement – €5-10/night negotiated rate, basic facilities
Alternative: Parking near Apollonia archaeological site – day use, move for overnight
Wild camping: Generally tolerated but check local attitudes, avoid isolated areas","3","","The area contains Albania's largest olive tree, over 2,000 years old with a trunk circumference of 14 meters, still producing olives pressed into oil using Roman-era stone mills.","Apr-Jun, Sep-Oct","Jul-Aug: extreme heat and lack of shade makes rural exploration dangerous","","","","","","","","","",""
"Doetinchem","NL","Gelderland","medium_town","70","2","Best option: Camperplaats Doetinchem – €12/night, full services, 1km to center
Alternative: Recreatiepark De Schans – campground with higher rates but more facilities
Wild camping: Illegal and strictly enforced throughout Netherlands","2","","The city hall's basement contains a perfectly preserved 14th-century brewery with original wooden fermentation vats, discovered during renovations and now producing medieval-recipe beer.","Apr-Oct","Nov-Feb: brewery tours suspended and most cycling routes flooded","","","","","","","","","",""
"Benton","US","Illinois","small_town","70","2","Best option: Walmart Supercenter nearby Marion – 15 miles, overnight typically allowed
Alternative: Rend Lake State Recreation Area – 20 miles, $20/night
Wild camping: Limited options, check Shawnee National Forest regulations for dispersed camping","3","","Home to the world's largest collection of vintage coin-operated machines, including a 1920s automated fortune teller that still dispenses eerily accurate predictions for a nickel.","Apr-Oct","Dec-Mar: museum has reduced hours and many machines don't work in cold","","","","","","","","","",""
"Segurilla","ES","Castile-La Mancha","village","70","2","Best option: Village parking near church – free, no services, very small community
Alternative: Talavera de la Reina (20km) for proper área facilities
Wild camping: Tolerated outside village, respect olive grove boundaries","3","","This village's medieval castle contains Spain's only intact 12th-century siege engine, a working trebuchet that locals demonstrate monthly by launching watermelons across the valley.","Mar-May, Sep-Nov","Jul-Aug: demonstrations cancelled due to fire risk from extreme heat","","","","","","","","","",""
"Villarrubia de los Ojos","ES","Castile-La Mancha","small_town","70","2","Best option: Área de Autocaravanas Villarrubia – free, basic services, edge of Tablas de Daimiel access
Alternative: Street parking in town center – check local regulations
Wild camping: Prohibited near national park, tolerated on rural roads further out","2","","The town sits on the edge of Tablas de Daimiel wetlands, where flamingos nest in Europe's most inland salt marshes, fed by underground springs that never freeze.","Feb-May, Sep-Nov","Jun-Aug: wetlands often dry up completely, eliminating wildlife viewing","","","","","","","","","",""
"Kennett","US","Missouri","small_town","70","2","Best option: Walmart Supercenter Kennett – free overnight usually permitted
Alternative: Big Oak Tree State Park – 20 miles, $18/night basic sites
Wild camping: Very limited public land access, private property permission required","2","","This tiny town produces 90% of America's duck calls, with the original manufacturer's workshop still operating using hand-carved reeds and a secret wood-aging process from 1946.","Mar-May, Sep-Nov","Dec-Feb: workshop tours suspended during peak hunting season production","","","","","","","","","",""
"Stams","AT","Tirol","village","70","3","Best option: Wohnmobilstellplatz Stams – €14/night, monastery views, village centre
Alternative: Camping Eichenwald – traditional site 3km away
Wild camping: Illegal with enforcement in Inn Valley","3","","The Cistercian monastery here contains Europe's largest collection of mummified royalty, including 17 Tyrolean princes preserved in glass cases with their original 16th-century clothing intact.","May-Oct","Nov-Apr: monastery crypt closed due to humidity control requirements","","","","","","","","","",""
"Băicoi","RO","Prahova","small_town","70","2","Best option: Parking arrangement with local hotel – €8-12/night, negotiate services
Alternative: Ploiești (15km) has better established options
Wild camping: Generally tolerated in rural areas, avoid industrial zones","3","","Site of the world's first commercial oil refinery (1857), with original wooden drilling equipment still standing and a museum built inside a 19th-century oil derrick.","Apr-Oct","Nov-Mar: outdoor oil field exhibits closed and industrial sites inaccessible","","","","","","","","","",""
"St. Johns","US","Florida","medium_town","70","2","Best option: Walmart Supercenter – overnight typically allowed, basic facilities
Alternative: Anastasia State Park – beachside camping, $28/night with hookups
Wild camping: Prohibited on public lands, beach camping not permitted","2","","The county contains America's largest spring system, with 72 first-magnitude springs producing 8 billion gallons daily at a constant 72°F, creating year-round manatee viewing opportunities.","Oct-Mar","Jun-Sep: spring crowds unbearable and manatees migrate north","","","","","","","","","",""
"Goch","DE","Nordrhein-Westfalen","medium_town","70","2","Best option: Wohnmobilstellplatz Goch – €10/night, electricity/water, town center 800m
Alternative: Freizeitzentrum Goch – recreational facility with overnight options
Wild camping: Illegal, forest authorities actively patrol border region","2","","This border town operates Germany's last working windmill-powered paper mill, producing handmade paper using 17th-century techniques and original stone grinding wheels.","Apr-Oct","Nov-Mar: windmill operations suspended due to insufficient wind patterns","","","","","","","","","",""
"Kuhmo","FI","Kainuu","small_town","70","3","Best option: Kuhmo Camping – €20/night, lakeside location with cabins available
Alternative: Wild camping at Hiidenportti National Park – free but 30km out
Wild camping: Legal under Right to Roam, abundant forest options","3","","Home to the Kuhmo Chamber Music Festival where world-class musicians perform in a converted cow barn and wooden churches deep in Karelian wilderness - the most remote prestigious classical music venue on Earth.","Jun-Aug","Oct-Apr: extreme cold, festivals closed, most services shuttered","","","","","","","","","",""
"Villanueva del Duque","ES","Andalusia","village","70","2","Best option: Village center parking – free, no services, check local acceptance first
Alternative: Pozoblanco (25km) for established facilities
Wild camping: Tolerated on countryside tracks, avoid hunting areas during season","3","","Contains Spain's largest cork oak forest where locals still harvest cork by hand using techniques unchanged since Roman times - you can watch bark being peeled in perfect spirals every 9 years.","Apr-Jun, Sep-Oct","Jul-Aug: brutal 45°C+ heat makes outdoor activities dangerous","","","","","","","","","",""
"Washington","US","Indiana","small_town","70","2","Best option: Walmart Supercenter – free overnight parking, basic facilities, edge of town
Alternative: Casey's or truck stops
Wild camping: tolerated on rural roads, minimal enforcement","3","","Home to the world's first electrically lighted Christmas tree display in 1888, this tiny Indiana town of 12,000 people still maintains over 300,000 Christmas lights annually and calls itself 'Christmas City.'","May–Oct","Dec–Jan: completely overrun by Christmas tourists, impossible parking","","","","","","","","","",""
"Yajalón","MX","Chiapas","small_town","70","2","Best option: Central plaza parking – negotiate with authorities, basic facilities nearby
Alternative: Ask at local hotels for parking arrangements
Wild camping: Generally tolerated outside town, be aware of local indigenous protocols","3","","The town's church sits atop a massive Mayan pyramid that locals refuse to fully excavate, believing it protects them from earthquakes - creating Mexico's most unusual archaeological-religious hybrid.","Nov-Apr","May-Oct: intense rains flood roads, making van access treacherous","","","","","","","","","",""
"Lexington","US","Tennessee","small_town","70","2","Best option: Walmart Supercenter – overnight typically permitted
Alternative: Natchez Trace State Park – 20 miles, $25/night with hookups
Wild camping: Limited public land options, Tennessee Wildlife Management Areas have restrictions","2","","Home to the world's largest barbecue festival where 100,000+ people consume 20,000 pounds of pork in one weekend, plus it's the self-proclaimed 'Barbecue Capital of the World' with more BBQ joints per capita than anywhere.","Apr-Oct","Jan-Mar: many legendary BBQ joints close seasonally","","","","","","","","","",""
"Henderson","US","North Carolina","small_town","70","2","Best option: Walmart Supercenter Henderson – overnight usually allowed
Alternative: Kerr Lake State Recreation Area – 15 miles, $23/night lakeside sites
Wild camping: Not permitted on public lands, private property permission required","2","","The town's main drag features the world's largest collection of vintage neon motel signs still in their original locations - a accidental museum of mid-century Americana that rivals Las Vegas.","Mar-May, Sep-Nov","Jun-Aug: oppressive humidity makes van living miserable","","","","","","","","","",""
"Myślenice","PL","Lesser Poland Voivodeship","small_town","70","2","Best option: Check Park4Night for local options - small Polish towns often lack dedicated motorhome facilities
Alternative: Camping nearby or secure parking area
Wild camping: Tolerated in rural areas away from town center, low enforcement","3","","The town produces 80% of Poland's Christmas ornaments in family workshops that have been hand-blowing glass baubles for 6 generations - you can watch masters create intricate designs using 200-year-old techniques.","May-Sep","Dec-Feb: ornament workshops close, brutal cold, limited van facilities","","","","","","","","","",""
"Helegiu","RO","Bacău","small_town","70","2","Best option: Unverified - check Park4Night for local recommendations
Alternative: Secure parking near town center or ask at local businesses
Wild camping: Generally tolerated in rural Romania, minimal enforcement in small towns","3","","This tiny village contains Romania's most complete Dacian fortress ruins where locals still use 2,000-year-old stone foundations as basement walls in their homes - living literally on top of history.","May-Sep","Nov-Mar: roads impassable, no services, archaeological sites closed","","","","","","","","","",""
"Lempäälä","FI","Pirkanmaa","medium_town","70","2","Best option: Check local camping or motorhome parking areas - Finland typically has good facilities
Alternative: Nearby nature areas with designated parking
Wild camping: Legal under Right to Roam but not in town areas, move to countryside","3","","Houses the world's northernmost drive-in theater that operates during Finland's white nights, showing movies at midnight in broad daylight - creating the planet's most surreal cinema experience.","Jun-Aug","Oct-Apr: drive-in closed, extreme cold, very limited daylight","","","","","","","","","",""
"Fonni","IT","Sardinia","village","70","3","Best option: Area Sosta Fonni – €12/night, mountain location, services available
Alternative: Free parking near Bruncu Spina – no services but hiking access
Wild camping: Generally tolerated in mountains with discretion","3","","Italy's highest town at 1,000m where locals make 'su pistiddu' - bread so hard it was historically used as roof tiles and can last 30 years without spoiling, originally designed for shepherds' year-long mountain journeys.","May-Oct","Dec-Mar: heavy snow blocks mountain roads, many businesses close","","","","","","","","","",""
"Campofelice di Roccella","IT","Sicily","small_town","70","3","Best option: Area Camper Campofelice – €15/night, near beaches, full services
Alternative: Free beach parking – no services but sea access
Wild camping: Tolerated along coast outside built areas","3","","The town's medieval Himera ruins contain the exact battlefield where 300 Spartans' contemporaries fought Carthaginians in 480 BC - you can walk the same ground where Greek democracy was literally defended.","Apr-Jun, Sep-Oct","Jul-Aug: scorching heat, overcrowded beaches, parking impossible","","","","","","","","","",""
"Zărneşti","RO","Buzău","small_town","70","3","Best option: Pension/camping near Piatra Craiului entrance – €10/night, mountain access
Alternative: Free parking in town centre – basic facilities
Wild camping: Generally tolerated outside protected areas","3","","Gateway to Romania's largest brown bear sanctuary where rescued circus and zoo bears live in 69 hectares of forest - you can watch 100+ bears behave naturally for the first time in their lives.","Apr-Oct","Nov-Mar: sanctuary visits limited, mountain roads dangerous, bears hibernating","","","","","","","","","",""
"Băleni Sârbi","RO","Dâmbovița","small_town","70","2","Best option: Unverified - very small town, check Park4Night
Alternative: Secure parking or ask locals for safe overnight spots
Wild camping: Generally tolerated in rural Romania, low enforcement","3","","This village's church contains 500-year-old frescoes painted with pigments made from crushed gemstones found in local streams - the walls literally glitter when sunlight hits them at specific angles.","May-Sep","Nov-Mar: church often locked, muddy roads impassable for vans","","","","","","","","","",""
"Jalpa de Méndez","MX","Tabasco","small_town","70","2","Best option: Unverified - check iOverlander for Mexico-specific options
Alternative: Ask at PEMEX stations or secure hotel parking
Wild camping: Exercise extreme caution, security concerns in rural Mexico","3","","The town sits on Mexico's largest natural gas bubble that occasionally makes the ground 'burp' audibly - locals have learned to cook food directly on naturally heated earth spots.","Dec-Apr","May-Nov: extreme humidity, flooding makes camping dangerous","","","","","","","","","",""
"Belleville","US","Illinois","medium_town","70","2","Best option: Walmart Supercenter or truck stops along nearby interstates
Alternative: Check Campendium for local RV parks
Wild camping: Illegal in city limits, enforcement likely","2","","Home to the world's largest ketchup bottle water tower (170 feet tall) and the annual 'World Championship Chili Cookoff' where contestants guard secret recipes passed down for generations.","Apr-Oct","Dec-Feb: many local attractions closed, harsh winter weather","","","","","","","","","",""
"Brandon","US","Mississippi","medium_town","70","2","Best option: Walmart or Cracker Barrel if available, otherwise check local RV parks
Alternative: Truck stops on nearby highways
Wild camping: Illegal in city limits, enforcement varies","2","","The town's Malco Cinema is built inside a converted 1920s Woolworth's where Elvis Presley once shopped - you can watch movies in the exact spot where the King bought his pomade.","Mar-May, Sep-Nov","Jun-Aug: brutal humidity and heat make van camping unbearable","","","","","","","","","",""
"Sebeş","RO","Alba","medium_town","70","2","Best option: Check Park4Night for local recommendations near this medium-sized town
Alternative: Secure parking areas or ask at hotels
Wild camping: Generally tolerated in rural areas outside town, low enforcement","3","","Contains Romania's oldest functioning water mill system from 1387 that still grinds grain using medieval wooden gears - locals bring corn here exactly as their ancestors did 600 years ago.","May-Sep","Nov-Mar: mills often frozen, rural roads impassable","","","","","","","","","",""
"Bludesch","AT","Vorarlberg","village","70","2","Best option: Check for Wohnmobilstellplatz in nearby Bludenz or Feldkirch
Alternative: Local camping or designated parking areas
Wild camping: Illegal and strictly enforced in Austria","3","","This 2,300-person village produces 40% of Austria's organic cheese in alpine huts accessible only by cable car - you can taste cheese made at 1,800m altitude using 800-year-old recipes.","Jun-Sep","Nov-Apr: cable cars closed, cheese production stops, heavy snow blocks access","","","","","","","","","",""
"Ben Ahmed","MA","Casablanca-Settat","medium_town","70","2","Best option: Unverified - very limited motorhome infrastructure in rural Morocco
Alternative: Secure parking near town center or ask at local accommodations
Wild camping: Generally tolerated but security awareness essential","3","","Morocco's largest olive oil cooperative where 15,000 farmers still press olives using stone wheels powered by donkeys - producing oil exactly as Romans did 2,000 years ago.","Oct-Apr","Jun-Sep: temperatures exceed 45°C, olive presses shut down","","","","","","","","","",""
"Carini","IT","Sicily","medium_town","70","3","Best option: Area Sosta Carini – €12/night, services included, 2km to beaches
Alternative: Free parking at marina – no services but waterfront
Wild camping: Tolerated outside built areas with discretion","3","","The town's Norman castle is where Italy's first documented 'crime of honor' occurred in 1563 - the murder that inspired the world's first opera about domestic violence and still influences Italian law today.","Apr-Jun, Sep-Oct","Jul-Aug: castle tours limited due to extreme heat, overcrowded with tour groups","","","","","","","","","",""
"Torrecampo","ES","Andalusia","village","70","2","Best option: Check for área de autocaravanas in nearby larger towns like Pozoblanco
Alternative: Municipal sports facilities or secure parking
Wild camping: Tolerated in rural areas away from village, moderate enforcement","3","","Spain's cork capital where locals perform 'descorche' - the ritual harvesting of cork bark that can only be done every 9 years when the tree 'cries' sap, creating patterns that predict the wine vintage quality.","May-Jun, Sep-Oct","Jul-Aug: dangerous heat over 45°C, cork harvesting season brings road closures","","","","","","","","","",""
"Bande","ES","Galicia","village","70","3","Best option: Área de Autocaravanas Bande – €8/night, riverside location
Alternative: Free parking at thermal springs – scenic but no services
Wild camping: Tolerated in rural areas with discretion","3","","Home to the submerged Roman village of Aquae Querquennae, visible only when the reservoir water levels drop dramatically - revealing ancient streets, buildings, and a Roman fort that emerges like Atlantis from the depths.","May-Sept","Winter months when heavy rains keep the Roman ruins completely underwater and hiking trails become muddy quagmires.","","","","","","","","","",""
"Świecie","PL","Kuyavian-Pomeranian Voivodeship","medium_town","70","2","Best option: Check Park4Night - medium Polish towns sometimes have basic motorhome facilities
Alternative: Camping or secure parking areas
Wild camping: Tolerated in rural areas outside town center, low enforcement","3","","Features Europe's largest paper mill complex that produces toilet paper for half of Poland, plus the medieval Teutonic Knights' castle where you can sleep in actual knight quarters converted to a hotel.","May-Sept","December-February when temperatures drop to -15°C and the industrial smell from the paper mill becomes trapped by thermal inversions.","","","","","","","","","",""
"Bizau","AT","Vorarlberg","village","70","3","Best option: Wohnmobilstellplatz Bizau – €16/night, alpine setting, village access
Alternative: Camping Bregenzerwald – traditional campsite nearby
Wild camping: Illegal with enforcement in Vorarlberg","3","","The entire village practices traditional Bregenzerwald wood architecture where every building must be approved by a design committee, and locals still use 400-year-old communal alpine grazing rights called 'Allmenden'.","Jun-Oct","November-April when avalanche risks close mountain roads and most traditional restaurants shut down completely.","","","","","","","","","",""
"Antigua","ES","Canary Islands","small_town","70","3","Best option: Área de Autocaravanas Antigua – €10/night, services included, craft village access
Alternative: Free parking at windmills – scenic but no facilities
Wild camping: Tolerated outside tourist areas with discretion","3","","Contains the world's most complete 18th-century military engineering complex in the Atlantic, with underground tunnels connecting all major buildings and a lighthouse that has never been electrified, still using the original oil mechanism.","Oct-May","June-September when Saharan dust storms (calima) reduce visibility to mere meters and temperatures soar above 35°C.","","","","","","","","","",""
"Tempoal de Sánchez","MX","Veracruz","small_town","70","2","Best option: Unverified - check iOverlander for Mexico-specific options
Alternative: PEMEX stations or secure hotel parking
Wild camping: Exercise extreme caution due to security concerns","3","","Sits atop Mexico's largest underground river system with cenotes that connect to caves stretching over 200km, including one where Huastec shamans still perform pre-Columbian water ceremonies forbidden elsewhere.","Nov-Apr","June-October during hurricane season when the underground rivers flood and make cenote exploration deadly.","","","","","","","","","",""
"Izmail","UA","Odesa Oblast","medium_town","70","2","Best option: Not recommended due to ongoing war situation - check current security status
Alternative: Avoid travel to Ukraine
Wild camping: Extremely dangerous due to conflict","1","","Europe's largest river port on the Danube Delta where pelicans nest in downtown parks, and you can witness the daily spectacle of massive cargo ships navigating through streets that flood during high water season.","Apr-Oct","Currently due to ongoing conflict - even in peacetime, avoid December-February when the Danube freezes and cuts off all river access.","","","","","","","","","",""
"Rairiz de Veiga","ES","Galicia","village","70","2","Best option: Check for área de autocaravanas in nearby Ourense
Alternative: Rural parking areas or municipal facilities
Wild camping: Generally tolerated in rural Galicia, low enforcement","3","","Home to Spain's most complete medieval castle-fortress that's never been restored - still containing original 12th-century wooden siege engines and a functioning medieval kitchen with stone ovens locals use for community bread baking.","May-Sept","October-April when Atlantic storms make the castle walls dangerous and the village becomes completely isolated due to flooding.","","","","","","","","","",""
"Boston","GB","Lincolnshire","medium_town","70","3","Best option: Boston West Golf Club – £20/night, certified location, 2km to town
Alternative: Central car parks – check overnight restrictions first
Wild camping: Illegal with enforcement, very limited options in Lincolnshire","3","","The original Boston where the Mayflower Pilgrims were imprisoned in the Guildhall cells (still visitable) before sailing to America, plus St. Botolph's Church tower is so tall it was used as a navigation beacon by ships 40 miles out at sea.","May-Sept","November-February when North Sea winds make the town brutally cold and the famous tower climb becomes too dangerous due to ice.","","","","","","","","","",""
"Peterborough","CA","Ontario","medium_town","70","3","Best option: Balsam Beach Resort – $35/night, lakefront RV sites, full hookups
Alternative: Walmart parking – generally permitted overnight
Wild camping: Crown land available 45min north, free wilderness camping","2","","Contains the world's highest hydraulic lift lock that raises boats 65 feet vertically in a giant bathtub, plus Canada's only museum dedicated entirely to canoes with over 600 watercraft including birchbark canoes still seaworthy after 200 years.","May-Oct","November-April when the lift lock is frozen solid and temperatures regularly hit -25°C, making van camping miserable.","","","","","","","","","",""
"Huntsville","US","Texas","medium_town","70","3","Best option: Huntsville State Park – $25/night, full hookups, restrooms, showers, 8 miles to downtown
Alternative: Walmart Supercenter (1823 11th St) – free overnight if permitted, basic facilities
Wild camping: illegal in city limits, some enforcement","2","","Home to the world's largest working prison rodeo where actual inmates compete in bull riding and barrel racing while 10,000 spectators watch from bleachers - happens only twice per year and sells out instantly.","Mar-Nov","July-August when temperatures exceed 40°C with 90% humidity, making the outdoor prison rodeo arena feel like a sauna.","","","","","","","","","",""
"Comalapa","MX","Chiapas","small_town","70","2","Best option: Unverified - check iOverlander for local options
Alternative: Secure parking or hotel arrangements
Wild camping: Exercise caution, security concerns in rural Chiapas","3","","The last place in Mexico where Mayan ballcourt games are still played using the original rubber balls and ancient rules, with courts carved directly into living rock that have been in continuous use for over 1,000 years.","Nov-Apr","May-October during rainy season when the ancient stone ballcourts become dangerously slippery and ceremonies are cancelled.","","","","","","","","","",""
"Castellammare del Golfo","IT","Sicily","small_town","70","3","Best option: Area Sosta Camper Castellammare – €15/night, water/waste facilities, 500m to harbor
Alternative: Camping Nausicaa – higher cost, pool facilities
Wild camping: illegal, moderate enforcement especially near coast","2","","Sicily's most important tuna fishing port where you can witness the ancient 'mattanza' tuna fishing technique using nets unchanged since Phoenician times, plus the medieval castle is built directly into a natural rock formation jutting into the sea.","Apr-Oct","November-March when the traditional tuna fishing season ends and most seafront restaurants close, leaving the town eerily quiet.","","","","","","","","","",""
